Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%,2020.csv,2020
16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,2020.csv,2020
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%,2020.csv,2020
18,Soul,"$120,957,731",-,-,"$120,957,731",100%,2020.csv,2020
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%,2020.csv,2020
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%,2020.csv,2020
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%,2020.csv,2020
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%,2020.csv,2020
23,Stand by Me Doraemon 2,"$65,168,379",-,-,"$65,168,379",100%,2020.csv,2020
24,The Rescue,"$64,159,976","$18,797",<0.1%,"$64,141,179",100%,2020.csv,2020
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%,2020.csv,2020
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%,2020.csv,2020
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%,2020.csv,2020
28,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%,2020.csv,2020
29,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%,2020.csv,2020
30,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%,2020.csv,2020
31,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%,2020.csv,2020
32,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%,2020.csv,2020
33,Trolls World Tour,"$47,196,831",-,-,"$47,196,831",100%,2020.csv,2020
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%,2020.csv,2020
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%,2020.csv,2020
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%,2020.csv,2020
37,Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%,2020.csv,2020
38,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%,2020.csv,2020
39,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,2020.csv,2020
