Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
34,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%,2018.csv,2018
35,Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%,2018.csv,2018
36,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%,2018.csv,2018
37,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%,2018.csv,2018
38,Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%,2018.csv,2018
39,Halloween,"$255,485,178","$159,342,015",62.4%,"$96,143,163",37.6%,2018.csv,2018
40,Crazy Rich Asians,"$238,532,921","$174,532,921",73.2%,"$64,000,000",26.8%,2018.csv,2018
41,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,2018.csv,2018
42,Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%,2018.csv,2018
43,Us and Them,"$209,221,380",-,-,"$209,221,380",100%,2018.csv,2018
44,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%,2018.csv,2018
45,Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%,2018.csv,2018
46,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,2018.csv,2018
47,Project Gutenberg,"$188,116,796",-,-,"$188,116,796",100%,2018.csv,2018
48,The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,2018.csv,2018
49,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018.csv,2018
50,Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%,2018.csv,2018
51,The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%,2018.csv,2018
52,Johnny English Strikes Again,"$158,970,776","$4,412,170",2.8%,"$154,558,606",97.2%,2018.csv,2018
53,Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%,2018.csv,2018
54,More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%,2018.csv,2018
55,The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%,2018.csv,2018
56,How Long Will I Love U,"$136,796,719","$746,933",0.5%,"$136,049,786",99.5%,2018.csv,2018
57,A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%,2018.csv,2018
58,The House with a Clock in Its Walls,"$131,457,147","$68,549,695",52.1%,"$62,907,452",47.9%,2018.csv,2018
59,Instant Family,"$120,556,201","$67,363,237",55.9%,"$53,192,964",44.1%,2018.csv,2018
60,A Cool Fish,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%,2018.csv,2018
61,Game Night,"$117,679,066","$69,179,066",58.8%,"$48,500,000",41.2%,2018.csv,2018
62,Dragon Ball Super: Broly,"$115,757,940","$30,712,119",26.5%,"$85,045,821",73.5%,2018.csv,2018
63,The Monkey King 3,"$115,084,576","$187,074",0.2%,"$114,897,502",99.8%,2018.csv,2018
64,First Man,"$105,697,415","$44,936,545",42.5%,"$60,760,870",57.5%,2018.csv,2018
65,Book Club,"$104,438,188","$68,566,296",65.7%,"$35,871,892",34.3%,2018.csv,2018
66,Night School,"$103,105,878","$77,339,130",75%,"$25,766,748",25%,2018.csv,2018
67,Detective Conan: Zero the Enforcer,"$101,860,359",-,-,"$101,860,359",100%,2018.csv,2018
68,Alpha,"$98,203,196","$35,857,181",36.5%,"$62,346,015",63.5%,2018.csv,2018
69,Along With the Gods: The Last 49 Days,"$97,962,238","$1,200,246",1.2%,"$96,761,992",98.8%,2018.csv,2018
70,A Simple Favor,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%,2018.csv,2018
71,Boonie Bears: The Big Shrink,"$96,845,907",-,-,"$96,845,907",100%,2018.csv,2018
72,The Favourite,"$95,918,706","$34,366,783",35.8%,"$61,551,923",64.2%,2018.csv,2018
73,Truth or Dare,"$95,330,493","$41,411,015",43.4%,"$53,919,478",56.6%,2018.csv,2018
74,Kill Mobile,"$94,870,905",-,-,"$94,870,905",100%,2018.csv,2018
75,I Feel Pretty,"$94,539,426","$48,795,601",51.6%,"$45,743,825",48.4%,2018.csv,2018
76,Blockers,"$94,017,294","$60,311,495",64.1%,"$33,705,799",35.9%,2018.csv,2018
77,BlacKkKlansman,"$93,400,823","$49,275,340",52.8%,"$44,125,483",47.2%,2018.csv,2018
78,Goosebumps 2: Haunted Halloween,"$93,320,380","$46,700,633",50%,"$46,619,747",50%,2018.csv,2018
79,Shadow,"$91,708,374","$521,396",0.6%,"$91,186,978",99.4%,2018.csv,2018
80,Overboard,"$91,244,913","$50,316,123",55.1%,"$40,928,790",44.9%,2018.csv,2018
81,Sherlock Gnomes,"$90,497,778","$43,242,871",47.8%,"$47,254,907",52.2%,2018.csv,2018
82,Detective Dee: The Four Heavenly Kings,"$90,040,771","$262,963",0.3%,"$89,777,808",99.7%,2018.csv,2018
83,"Hello, Mrs. Money","$86,874,070",-,-,"$86,874,070",100%,2018.csv,2018
84,Robin Hood,"$86,489,031","$30,824,628",35.6%,"$55,664,403",64.4%,2018.csv,2018
85,I Can Only Imagine,"$86,086,881","$83,482,352",97%,"$2,604,529",3%,2018.csv,2018
86,Hidden Man,"$85,170,581",-,-,"$85,170,581",100%,2018.csv,2018
87,Mortal Engines,"$83,672,673","$15,951,040",19.1%,"$67,721,633",80.9%,2018.csv,2018
88,iPartment the Movie,"$81,096,321",-,-,"$81,096,321",100%,2018.csv,2018
89,Doraemon the Movie: Nobita's Treasure Island,"$80,920,916",-,-,"$80,920,916",100%,2018.csv,2018
90,Den of Thieves,"$80,509,622","$44,947,622",55.8%,"$35,562,000",44.2%,2018.csv,2018
91,Hereditary,"$80,200,936","$44,069,456",54.9%,"$36,131,480",45.1%,2018.csv,2018
92,Code Blue: The Movie,"$78,778,562",-,-,"$78,778,562",100%,2018.csv,2018
93,Tag,"$78,130,625","$54,730,625",70.1%,"$23,400,000",29.9%,2018.csv,2018
94,Sanju,"$76,693,052","$7,909,317",10.3%,"$68,783,735",89.7%,2018.csv,2018
95,Vice,"$76,073,488","$47,836,282",62.9%,"$28,237,206",37.1%,2018.csv,2018
96,Widows,"$75,984,700","$42,402,632",55.8%,"$33,582,068",44.2%,2018.csv,2018
97,Sicario: Day of the Soldado,"$75,837,743","$50,072,235",66%,"$25,765,508",34%,2018.csv,2018
98,Searching,"$75,462,037","$26,020,957",34.5%,"$49,441,080",65.5%,2018.csv,2018
99,The Spy Who Dumped Me,"$75,320,680","$33,562,069",44.6%,"$41,758,611",55.4%,2018.csv,2018
100,Animal World,"$74,922,830",-,-,"$74,922,830",100%,2018.csv,2018
101,Amazing China,"$72,506,343",-,-,"$72,506,343",100%,2018.csv,2018
102,Second Act,"$72,282,227","$39,282,227",54.3%,"$33,000,000",45.7%,2018.csv,2018
103,Spirited Away 2018 Re-release,"$70,186,029","$1,175,067",1.7%,"$69,010,962",98.3%,2018.csv,2018
104,Shoplifters,"$67,999,335","$3,313,513",4.9%,"$64,685,822",95.1%,2018.csv,2018
105,12 Strong,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%,2018.csv,2018
106,"Love, Simon","$66,316,289","$40,826,341",61.6%,"$25,489,948",38.4%,2018.csv,2018
107,Mile 22,"$66,308,758","$36,108,758",54.5%,"$30,200,000",45.5%,2018.csv,2018
108,Life of the Party,"$65,859,911","$53,059,911",80.6%,"$12,800,000",19.4%,2018.csv,2018
109,L Storm,"$64,517,456",-,-,"$64,517,456",100%,2018.csv,2018
110,Capernaum,"$64,417,003","$1,661,096",2.6%,"$62,755,907",97.4%,2018.csv,2018
111,Isle of Dogs,"$64,241,499","$32,015,231",49.8%,"$32,226,268",50.2%,2018.csv,2018
112,Andhadhun,"$62,475,342","$1,193,046",1.9%,"$61,282,296",98.1%,2018.csv,2018
113,Adrift,"$59,945,012","$31,445,012",52.5%,"$28,500,000",47.5%,2018.csv,2018
114,The 15:17 to Paris,"$57,076,286","$36,276,286",63.6%,"$20,800,000",36.4%,2018.csv,2018
115,A or B,"$56,239,049",-,-,"$56,239,049",100%,2018.csv,2018
116,Go Brother!,"$54,663,060",-,-,"$54,663,060",100%,2018.csv,2018
117,Early Man,"$54,622,814","$8,267,544",15.1%,"$46,355,270",84.9%,2018.csv,2018
118,Peppermint,"$53,918,723","$35,418,723",65.7%,"$18,500,000",34.3%,2018.csv,2018
119,Teen Titans GO! To the Movies,"$52,090,236","$29,790,236",57.2%,"$22,300,000",42.8%,2018.csv,2018
120,Slender Man,"$51,738,549","$30,569,484",59.1%,"$21,169,065",40.9%,2018.csv,2018
121,Breaking In,"$51,411,620","$46,840,590",91.1%,"$4,571,030",8.9%,2018.csv,2018
122,Cry Me a Sad River,"$51,400,614",-,-,"$51,400,614",100%,2018.csv,2018
123,Once Upon a Deadpool 2018 Re-release,"$51,349,833","$6,100,309",11.9%,"$45,249,524",88.1%,2018.csv,2018
124,Simmba,"$51,329,025","$5,102,129",9.9%,"$46,226,896",90.1%,2018.csv,2018
125,Family is Family,"$49,954,866",-,-,"$49,954,866",100%,2018.csv,2018
126,Death Wish,"$49,562,710","$34,017,028",68.6%,"$15,545,682",31.4%,2018.csv,2018
127,The Magic Tuche,"$47,427,990",-,-,"$47,427,990",100%,2018.csv,2018
128,Golden Job,"$47,287,851","$285,795",0.6%,"$47,002,056",99.4%,2018.csv,2018
129,Mary Queen of Scots,"$46,712,809","$16,468,499",35.3%,"$30,244,310",64.7%,2018.csv,2018
130,Uncle Drew,"$46,664,414","$42,469,946",91%,"$4,194,468",9%,2018.csv,2018
131,Acrimony,"$46,403,669","$43,549,096",93.8%,"$2,854,573",6.2%,2018.csv,2018
132,Asterix: The Secret of the Magic Potion,"$45,972,321","$1,271,953",2.8%,"$44,700,368",97.2%,2018.csv,2018
133,Bajrangi Bhaijaan 2018 Re-release,"$45,579,004",-,-,"$45,579,004",100%,2018.csv,2018
134,Winchester,"$44,019,588","$25,091,816",57%,"$18,927,772",43%,2018.csv,2018
135,Annihilation,"$43,070,915","$32,732,301",76%,"$10,338,614",24%,2018.csv,2018
136,The Possession of Hannah Grace,"$43,016,528","$14,837,422",34.5%,"$28,179,106",65.5%,2018.csv,2018
137,Long Day's Journey Into Night,"$42,140,994","$521,365",1.2%,"$41,619,629",98.8%,2018.csv,2018
138,Overlord,"$41,657,844","$21,704,844",52.1%,"$19,953,000",47.9%,2018.csv,2018
139,The Great Battle,"$41,509,280","$472,166",1.1%,"$41,037,114",98.9%,2018.csv,2018
140,The Darkest Minds,"$41,142,379","$12,695,691",30.9%,"$28,446,688",69.1%,2018.csv,2018
141,"Lost, Found","$41,043,552",-,-,"$41,043,552",100%,2018.csv,2018
142,Holmes & Watson,"$40,466,970","$30,573,626",75.6%,"$9,893,344",24.4%,2018.csv,2018
143,Intimate Strangers,"$39,576,060",-,-,"$39,576,060",100%,2018.csv,2018
144,Thugs of Hindostan,"$39,570,044","$1,449,848",3.7%,"$38,120,196",96.3%,2018.csv,2018
145,Sink or Swim,"$39,193,850",-,-,"$39,193,850",100%,2018.csv,2018
146,Show Dogs,"$39,156,854","$17,857,020",45.6%,"$21,299,834",54.4%,2018.csv,2018
147,Believer,"$39,047,153","$365,639",0.9%,"$38,681,514",99.1%,2018.csv,2018
148,The Spy Gone North,"$38,844,509","$500,803",1.3%,"$38,343,706",98.7%,2018.csv,2018
149,On the Basis of Sex,"$38,673,750","$24,622,687",63.7%,"$14,051,063",36.3%,2018.csv,2018
150,Taxi 5,"$38,598,227",-,-,"$38,598,227",100%,2018.csv,2018
151,Fat Buddies,"$37,496,410",-,-,"$37,496,410",100%,2018.csv,2018
152,Till The End Of The World,"$37,013,733","$118,660",0.3%,"$36,895,073",99.7%,2018.csv,2018
153,2.0,"$36,945,969","$4,152,000",11.2%,"$32,793,969",88.8%,2018.csv,2018
154,Nothing to Lose,"$36,075,317","$1,016,188",2.8%,"$35,059,129",97.2%,2018.csv,2018
155,T-34,"$35,950,901",-,-,"$35,950,901",100%,2018.csv,2018
156,Mia and the White Lion,"$35,487,190","$399,471",1.1%,"$35,087,719",98.9%,2018.csv,2018
157,The Girl in the Spider's Web,"$35,164,920","$14,841,338",42.2%,"$20,323,582",57.8%,2018.csv,2018
158,The Hate U Give,"$34,934,009","$29,719,483",85.1%,"$5,214,526",14.9%,2018.csv,2018
159,Nobody's Fool,"$33,705,333","$31,713,110",94.1%,"$1,992,223",5.9%,2018.csv,2018
160,Baaghi 2,"$33,139,063","$1,319,579",4%,"$31,819,484",96%,2018.csv,2018
161,The Hurricane Heist,"$32,517,248","$6,115,825",18.8%,"$26,401,423",81.2%,2018.csv,2018
162,All About Me,"$31,920,159",-,-,"$31,920,159",100%,2018.csv,2018
163,Bad Times at the El Royale,"$31,882,724","$17,839,115",56%,"$14,043,609",44%,2018.csv,2018
164,Hunter Killer,"$31,672,678","$15,767,460",49.8%,"$15,905,218",50.2%,2018.csv,2018
165,Super Troopers 2,"$31,626,386","$30,617,396",96.8%,"$1,008,990",3.2%,2018.csv,2018
166,The Strangers: Prey at Night,"$31,039,126","$24,586,708",79.2%,"$6,452,418",20.8%,2018.csv,2018
167,Gintama 2: Rules are Made to be Broken,"$30,896,653",-,-,"$30,896,653",100%,2018.csv,2018
168,The Way of the Bug,"$30,355,804",-,-,"$30,355,804",100%,2018.csv,2018
169,Clergy,"$30,114,115",-,-,"$30,114,115",100%,2018.csv,2018
170,Ice,"$29,806,210",-,-,"$29,806,210",100%,2018.csv,2018
171,Free Solo,"$29,390,279","$17,541,090",59.7%,"$11,849,189",40.3%,2018.csv,2018
172,Dark Figure of Crime,"$29,176,133",-,-,"$29,176,133",100%,2018.csv,2018
173,Pad Man,"$29,045,020","$1,670,192",5.8%,"$27,374,828",94.2%,2018.csv,2018
174,Mirai,"$28,756,961","$812,794",2.8%,"$27,944,167",97.2%,2018.csv,2018
175,Default,"$27,694,043","$203,775",0.7%,"$27,490,268",99.3%,2018.csv,2018
176,One Cut of the Dead,"$27,590,180","$52,406",0.2%,"$27,537,774",99.8%,2018.csv,2018
177,The Happytime Murders,"$27,506,452","$20,706,452",75.3%,"$6,800,000",24.7%,2018.csv,2018
178,Midnight Sun,"$27,365,467","$9,561,064",34.9%,"$17,804,403",65.1%,2018.csv,2018
179,VIP Policeman,"$27,222,681",-,-,"$27,222,681",100%,2018.csv,2018
180,My Neighbor Totoro 2018 Re-release,"$27,083,857","$1,144,649",4.2%,"$25,939,208",95.8%,2018.csv,2018
181,The Faces of My Gene,"$26,796,279",-,-,"$26,796,279",100%,2018.csv,2018
182,Badhaai Ho,"$26,125,610",-,-,"$26,125,610",100%,2018.csv,2018
183,Hichki,"$26,055,222","$330,279",1.3%,"$25,724,943",98.7%,2018.csv,2018
184,White Boy Rick,"$25,957,482","$24,011,188",92.5%,"$1,946,294",7.5%,2018.csv,2018
185,"Paul, Apostle of Christ","$25,915,966","$17,560,475",67.8%,"$8,355,491",32.2%,2018.csv,2018
186,Champions,"$25,703,987",-,-,"$25,703,987",100%,2018.csv,2018
187,Keys To The Heart,"$25,375,866","$75,134",0.3%,"$25,300,732",99.7%,2018.csv,2018
188,Stan & Ollie,"$24,420,923","$5,470,235",22.4%,"$18,950,688",77.6%,2018.csv,2018
189,The Witch: Part 1 - The Subversion,"$24,340,302",-,-,"$24,340,302",100%,2018.csv,2018
190,The Accidental Detective 2: In Action,"$24,243,825","$179,045",0.7%,"$24,064,780",99.3%,2018.csv,2018
191,Killing for the Prosecution,"$23,929,620",-,-,"$23,929,620",100%,2018.csv,2018
192,Pokémon the Movie: The Power of Us,"$23,740,788","$789,170",3.3%,"$22,951,618",96.7%,2018.csv,2018
193,The Guernsey Literary and Potato Peel Pie Society,"$23,148,937",-,-,"$23,148,937",100%,2018.csv,2018
194,The Crimes That Bind,"$23,144,130",-,-,"$23,144,130",100%,2018.csv,2018
195,New Happy Dad and Son 3: Adventure in Russia,"$23,130,469",-,-,"$23,130,469",100%,2018.csv,2018
196,Padmaavat,"$22,991,060","$11,846,060",51.5%,"$11,145,000",48.5%,2018.csv,2018
197,Won't You Be My Neighbor?,"$22,844,741","$22,835,787",100%,"$8,954",<0.1%,2018.csv,2018
198,Europe Raiders,"$22,435,156",-,-,"$22,435,156",100%,2018.csv,2018
199,Mojin: The Worm Valley,"$22,381,583","$101,516",0.5%,"$22,280,067",99.5%,2018.csv,2018
200,Stree,"$22,075,730",-,-,"$22,075,730",100%,2018.csv,2018
1,Frozen,"$1,280,802,282","$400,738,009",31.3%,"$880,064,273",68.7%,2013.csv,2013
2,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013.csv,2013
3,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%,2013.csv,2013
4,The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%,2013.csv,2013
5,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%,2013.csv,2013
6,Fast & Furious 6,"$788,679,850","$238,679,850",30.3%,"$550,000,000",69.7%,2013.csv,2013
7,Monsters University,"$743,559,607","$268,492,764",36.1%,"$475,066,843",63.9%,2013.csv,2013
8,Gravity,"$723,192,705","$274,092,705",37.9%,"$449,100,000",62.1%,2013.csv,2013
9,Man of Steel,"$668,045,518","$291,045,518",43.6%,"$377,000,000",56.4%,2013.csv,2013
10,Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%,2013.csv,2013
11,The Croods,"$587,204,668","$187,168,425",31.9%,"$400,036,243",68.1%,2013.csv,2013
12,World War Z,"$540,007,876","$202,359,711",37.5%,"$337,648,165",62.5%,2013.csv,2013
13,Oz the Great and Powerful,"$493,311,825","$234,911,825",47.6%,"$258,400,000",52.4%,2013.csv,2013
14,Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%,2013.csv,2013
15,The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%,2013.csv,2013
16,Pacific Rim,"$411,002,906","$101,802,906",24.8%,"$309,200,000",75.2%,2013.csv,2013
17,The Wolf of Wall Street,"$392,000,694","$116,900,694",29.8%,"$275,100,000",70.2%,2013.csv,2013
18,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.6%,"$253,217,645",67.4%,2013.csv,2013
19,The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%,2013.csv,2013
20,The Great Gatsby,"$353,641,895","$144,840,419",41%,"$208,801,476",59%,2013.csv,2013
21,Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%,2013.csv,2013
22,The Smurfs 2,"$347,545,360","$71,017,784",20.4%,"$276,527,576",79.6%,2013.csv,2013
23,The Conjuring,"$319,494,638","$137,400,141",43%,"$182,094,497",57%,2013.csv,2013
24,A Good Day to Die Hard,"$304,654,182","$67,349,198",22.1%,"$237,304,984",77.9%,2013.csv,2013
25,Oblivion,"$286,168,572","$89,107,235",31.1%,"$197,061,337",68.9%,2013.csv,2013
26,Elysium,"$286,140,700","$93,050,117",32.5%,"$193,090,583",67.5%,2013.csv,2013
27,Turbo,"$282,570,682","$83,028,128",29.4%,"$199,542,554",70.6%,2013.csv,2013
28,Cloudy with a Chance of Meatballs 2,"$274,325,949","$119,793,567",43.7%,"$154,532,382",56.3%,2013.csv,2013
29,Epic,"$268,426,634","$107,518,682",40.1%,"$160,907,952",59.9%,2013.csv,2013
30,The Lone Ranger,"$260,502,115","$89,302,115",34.3%,"$171,200,000",65.7%,2013.csv,2013
31,American Hustle,"$251,171,807","$150,117,807",59.8%,"$101,054,000",40.2%,2013.csv,2013
32,Grown Ups 2,"$246,984,278","$133,668,525",54.1%,"$113,315,753",45.9%,2013.csv,2013
33,After Earth,"$243,611,982","$60,522,097",24.8%,"$183,089,885",75.2%,2013.csv,2013
34,Planes,"$239,258,712","$90,288,712",37.7%,"$148,970,000",62.3%,2013.csv,2013
35,Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.6%,"$170,646,274",75.4%,2013.csv,2013
36,Captain Phillips,"$218,791,811","$107,100,855",49%,"$111,690,956",51%,2013.csv,2013
37,Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%,2013.csv,2013
38,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%,2013.csv,2013
39,Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554",34.3%,"$131,290,761",65.7%,2013.csv,2013
40,Jack the Giant Slayer,"$197,687,603","$65,187,603",33%,"$132,500,000",67%,2013.csv,2013
41,The Secret Life of Walter Mitty,"$188,133,322","$58,236,838",31%,"$129,896,484",69%,2013.csv,2013
42,12 Years a Slave,"$187,733,202","$56,671,993",30.2%,"$131,061,209",69.8%,2013.csv,2013
43,Lee Daniels' The Butler,"$177,313,795","$116,632,095",65.8%,"$60,681,700",34.2%,2013.csv,2013
44,Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%,2013.csv,2013
45,Anchorman 2: The Legend Continues,"$171,464,676","$125,168,368",73%,"$46,296,308",27%,2013.csv,2013
46,Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9%,2013.csv,2013
47,Insidious: Chapter 2,"$161,919,318","$83,586,447",51.6%,"$78,332,871",48.4%,2013.csv,2013
48,Lone Survivor,"$154,802,912","$125,095,601",80.8%,"$29,707,311",19.2%,2013.csv,2013
49,Bad Grandpa,"$151,826,547","$102,003,019",67.2%,"$49,823,528",32.8%,2013.csv,2013
50,47 Ronin,"$151,783,839","$38,362,475",25.3%,"$113,421,364",74.7%,2013.csv,2013
51,RED 2,"$148,075,565","$53,262,560",36%,"$94,813,005",64%,2013.csv,2013
52,Mama,"$146,428,180","$71,628,180",48.9%,"$74,800,000",51.1%,2013.csv,2013
53,Escape Plan,"$137,328,301","$25,135,965",18.3%,"$112,192,336",81.7%,2013.csv,2013
54,2 Guns,"$131,940,411","$75,612,460",57.3%,"$56,327,951",42.7%,2013.csv,2013
55,This Is the End,"$126,041,322","$101,470,202",80.5%,"$24,571,120",19.5%,2013.csv,2013
56,Ender's Game,"$125,544,024","$61,737,191",49.2%,"$63,806,833",50.8%,2013.csv,2013
57,Prisoners,"$122,126,687","$61,002,302",50%,"$61,124,385",50%,2013.csv,2013
58,Jurassic Park 2013 Re-release,"$118,192,315","$45,385,935",38.4%,"$72,806,380",61.6%,2013.csv,2013
59,Saving Mr. Banks,"$117,867,984","$83,301,580",70.7%,"$34,566,404",29.3%,2013.csv,2013
60,Warm Bodies,"$116,980,662","$66,380,662",56.7%,"$50,600,000",43.3%,2013.csv,2013
61,Personal Tailor,"$116,126,458","$375,892",0.3%,"$115,750,566",99.7%,2013.csv,2013
62,So Young,"$114,926,694","$11,186",<0.1%,"$114,915,508",100%,2013.csv,2013
63,Free Birds,"$110,387,072","$55,750,480",50.5%,"$54,636,592",49.5%,2013.csv,2013
64,Gangster Squad,"$105,200,903","$46,000,903",43.7%,"$59,200,000",56.3%,2013.csv,2013
65,Instructions Not Included,"$100,486,616","$44,467,206",44.3%,"$56,019,410",55.7%,2013.csv,2013
66,Philomena,"$100,129,872","$37,709,979",37.7%,"$62,419,893",62.3%,2013.csv,2013
67,Blue Jasmine,"$99,104,804","$33,405,481",33.7%,"$65,699,323",66.3%,2013.csv,2013
68,Young Detective Dee: Rise of the Sea Dragon,"$98,774,891","$87,783",<0.1%,"$98,687,108",99.9%,2013.csv,2013
69,Riddick,"$98,337,295","$42,025,135",42.7%,"$56,312,160",57.3%,2013.csv,2013
70,Safe Haven,"$97,594,140","$71,349,120",73.1%,"$26,245,020",26.9%,2013.csv,2013
71,Evil Dead,"$97,542,952","$54,239,856",55.6%,"$43,303,096",44.4%,2013.csv,2013
72,42,"$97,470,701","$95,020,213",97.5%,"$2,450,488",2.5%,2013.csv,2013
73,The Mortal Instruments: City of Bones,"$95,396,573","$31,165,421",32.7%,"$64,231,152",67.3%,2013.csv,2013
74,Rush,"$95,224,595","$26,947,624",28.3%,"$68,276,971",71.7%,2013.csv,2013
75,Police Story: Lockdown,"$94,249,025",-,-,"$94,249,025",100%,2013.csv,2013
76,The Internship,"$93,492,844","$44,672,764",47.8%,"$48,820,080",52.2%,2013.csv,2013
77,The Purge,"$89,328,627","$64,473,115",72.2%,"$24,855,512",27.8%,2013.csv,2013
78,Dhoom 3,"$88,031,955","$8,031,955",9.1%,"$80,000,000",90.9%,2013.csv,2013
79,Pain & Gain,"$87,305,549","$49,875,291",57.1%,"$37,430,258",42.9%,2013.csv,2013
80,About Time,"$87,100,449","$15,322,921",17.6%,"$71,777,528",82.4%,2013.csv,2013
81,American Dreams in China,"$87,097,067",-,-,"$87,097,067",100%,2013.csv,2013
82,Snowpiercer,"$86,758,912","$4,563,650",5.3%,"$82,195,262",94.7%,2013.csv,2013
83,Carrie,"$84,790,678","$35,266,619",41.6%,"$49,524,059",58.4%,2013.csv,2013
84,Finding Mr. Right,"$84,112,033","$6,945",<0.1%,"$84,105,088",100%,2013.csv,2013
85,The Fighter Pilot,"$82,879,386",-,-,"$82,879,386",100%,2013.csv,2013
86,Miracle in Cell No. 7,"$82,101,723",-,-,"$82,101,723",100%,2013.csv,2013
87,The Attorney,"$78,547,586","$557,236",0.7%,"$77,990,350",99.3%,2013.csv,2013
88,The Family,"$78,418,811","$36,918,811",47.1%,"$41,500,000",52.9%,2013.csv,2013
89,Scary Movie V,"$78,378,744","$32,015,787",40.8%,"$46,362,957",59.2%,2013.csv,2013
90,R.I.P.D.,"$78,324,220","$33,618,855",42.9%,"$44,705,365",57.1%,2013.csv,2013
91,Tiny Times,"$77,717,014","$23,462",<0.1%,"$77,693,552",100%,2013.csv,2013
92,Suck Me Shakespeer,"$77,676,735",-,-,"$77,676,735",100%,2013.csv,2013
93,The Book Thief,"$76,586,316","$21,488,481",28.1%,"$55,097,835",71.9%,2013.csv,2013
94,Escape from Planet Earth,"$74,597,643","$57,012,977",76.4%,"$17,584,666",23.6%,2013.csv,2013
95,August: Osage County,"$74,188,937","$37,738,810",50.9%,"$36,450,127",49.1%,2013.csv,2013
96,The Best Man Holiday,"$72,835,710","$70,525,195",96.8%,"$2,310,515",3.2%,2013.csv,2013
97,The Counselor,"$71,009,334","$16,973,715",23.9%,"$54,035,619",76.1%,2013.csv,2013
98,Sole a catinelle,"$69,903,094",-,-,"$69,903,094",100%,2013.csv,2013
99,The Call,"$68,572,631","$51,872,378",75.6%,"$16,700,253",24.4%,2013.csv,2013
100,One Direction: This Is Us,"$68,532,898","$28,873,374",42.1%,"$39,659,524",57.9%,2013.csv,2013
101,Stalingrad,"$68,316,452","$1,013,945",1.5%,"$67,302,507",98.5%,2013.csv,2013
102,Thunder and the House of Magic,"$64,197,205","$4,091",<0.1%,"$64,193,114",100%,2013.csv,2013
103,The Grandmaster,"$64,076,736","$6,594,959",10.3%,"$57,481,777",89.7%,2013.csv,2013
104,Side Effects,"$63,414,135","$32,172,757",50.7%,"$31,241,378",49.3%,2013.csv,2013
105,The Host,"$63,365,859","$26,627,201",42%,"$36,738,658",58%,2013.csv,2013
106,Runner Runner,"$62,675,095","$19,316,646",30.8%,"$43,358,449",69.2%,2013.csv,2013
107,The Face Reader,"$61,559,184","$515,876",0.8%,"$61,043,308",99.2%,2013.csv,2013
108,The Legend of Hercules,"$61,279,452","$18,848,538",30.8%,"$42,430,914",69.2%,2013.csv,2013
109,Kick-Ass 2,"$60,795,985","$28,795,985",47.4%,"$32,000,000",52.6%,2013.csv,2013
