,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
192,The Adventures of Tintin,"37,39,93,951","7,75,91,831","29,64,02,120",2011,20.747,79.253
193,Penguins of Madagascar,"37,35,15,621","8,38,50,911","28,96,64,710",2014,22.449,77.551
194,Fifty Shades Freed,"37,19,85,018","10,04,07,760","27,15,77,258",2018,26.992,73.008
195,Captain America: The First Avenger,"37,05,69,774","17,66,54,505","19,39,15,269",2011,47.671,52.329
196,Edge of Tomorrow,"37,05,41,256","10,02,06,256","27,03,35,000",2014,27.043,72.957
197,Gone Girl,"36,93,30,363","16,77,67,189","20,15,63,174",2014,45.425,54.575
198,Hello Mr. Billionaire,"36,69,61,907",0,"36,69,61,907",2018,0.000,100.000
199,Shazam!,"36,59,71,656","14,03,71,656","22,56,00,000",2019,38.356,61.644
200,The Nun,"36,55,50,119","11,74,50,119","24,81,00,000",2018,32.130,67.870
201,Tenet,"36,36,56,624","5,84,56,624","30,52,00,000",2020,16.075,83.925
202,Night at the Museum: Secret of the Tomb,"36,32,04,635","11,37,46,621","24,94,58,014",2014,31.318,68.682
203,The Hangover Part III,"36,20,00,072","11,22,00,072","24,98,00,000",2013,30.994,69.006
204,Monster Hunt 2,"36,16,82,618","7,06,153","36,09,76,465",2018,0.195,99.805
205,Noah,"35,92,00,044","10,12,00,044","25,80,00,000",2014,28.174,71.826
206,Hotel Transylvania,"35,83,75,603","14,83,13,048","21,00,62,555",2012,41.385,58.615
207,Your Name.,"35,79,86,087","50,17,246","35,29,68,841",2016,1.402,98.598
208,The Legend of Tarzan,"35,67,00,357","12,66,43,061","23,00,57,296",2016,35.504,64.496
209,The Great Gatsby,"35,36,41,895","14,48,40,419","20,88,01,476",2013,40.957,59.043
210,Dumbo,"35,32,84,621","11,47,66,307","23,85,18,314",2019,32.486,67.514
211,Murder on the Orient Express,"35,27,89,811","10,28,26,543","24,99,63,268",2017,29.147,70.853
212,X-Men: First Class,"35,26,16,690","14,64,08,305","20,62,08,385",2011,41.521,58.479
213,The Angry Birds Movie,"35,23,33,929","10,75,09,366","24,48,24,563",2016,30.513,69.487
214,Now You See Me,"35,17,23,989","11,77,23,989","23,40,00,000",2013,33.471,66.529
215,Peter Rabbit,"35,12,66,433","11,52,53,424","23,60,13,009",2018,32.811,67.189
216,Titanic 2012 3D Release,"35,04,49,521","5,78,84,114","29,25,65,407",2012,16.517,83.483
217,Mary Poppins Returns,"34,95,37,494","17,19,58,438","17,75,79,056",2018,49.196,50.804
218,The Lorax,"34,88,40,316","21,40,30,500","13,48,09,816",2012,61.355,38.645
219,The Maze Runner,"34,83,19,861","10,24,27,862","24,58,91,999",2014,29.406,70.594
220,The Smurfs 2,"34,75,45,360","7,10,17,784","27,65,27,576",2013,20.434,79.566
221,Trolls,"34,68,64,462","15,37,07,064","19,31,57,398",2016,44.313,55.687
222,xXx: Return of Xander Cage,"34,61,18,277","4,48,98,413","30,12,19,864",2017,12.972,87.028
223,Star Trek Beyond,"34,34,71,816","15,88,48,340","18,46,23,476",2016,46.248,53.752
224,Alvin and the Chipmunks: Chipwrecked,"34,26,95,435","13,31,10,742","20,95,84,693",2011,38.842,61.158
225,A Quiet Place,"34,09,39,361","18,80,24,361","15,29,15,000",2018,55.149,44.851
226,300: Rise of an Empire,"33,75,80,051","10,65,80,051","23,10,00,000",2014,31.572,68.428
227,Journey 2: The Mysterious Island,"33,52,60,290","10,38,60,290","23,14,00,000",2012,30.979,69.021
228,The Great Wall,"33,49,33,831","4,55,40,830","28,93,93,001",2016,13.597,86.403
229,Now You See Me 2,"33,48,97,606","6,50,75,540","26,98,22,066",2016,19.431,80.569
230,Never Say Die,"33,45,30,869",0,"33,45,30,869",2017,0.000,100.000
231,The Good Dinosaur,"33,22,07,671","12,30,87,120","20,91,20,551",2015,37.051,62.949
232,22 Jump Street,"33,13,33,876","19,17,19,337","13,96,14,539",2014,57.863,42.137
233,Crazy Alien,"32,75,98,891",0,"32,75,98,891",2019,0.000,100.000
234,John Wick: Chapter 3 - Parabellum,"32,67,09,727","17,10,15,687","15,56,94,040",2019,52.345,47.655
235,Taken 3,"32,64,79,141","8,92,56,424","23,72,22,717",2015,27.339,72.661
236,The SpongeBob Movie: Sponge Out of Water,"32,51,86,032","16,29,94,032","16,21,92,000",2015,50.123,49.877
237,Green Book,"32,17,52,656","8,50,80,171","23,66,72,485",2018,26.443,73.557
238,The Conjuring 2,"32,03,92,818","10,24,70,008","21,79,22,810",2016,31.983,68.017
239,Sonic the Hedgehog,"31,97,15,683","14,89,74,665","17,07,41,018",2020,46.596,53.404
240,The Conjuring,"31,94,94,638","13,74,00,141","18,20,94,497",2013,43.005,56.995
241,The Expendables 2,"31,49,75,955","8,50,28,192","22,99,47,763",2012,26.995,73.005
242,Maze Runner: The Scorch Trials,"31,22,96,056","8,16,97,192","23,05,98,864",2015,26.160,73.840
243,Resident Evil: The Final Chapter,"31,22,42,626","2,68,30,068","28,54,12,558",2016,8.593,91.407
244,The Lego Batman Movie,"31,19,50,384","17,57,50,384","13,62,00,000",2017,56.339,43.661
245,Knives Out,"31,16,05,581","16,53,63,234","14,62,42,347",2019,53.068,46.932
246,The Ex-File 3: The Return of The Exes,"30,75,92,427","8,38,959","30,67,53,468",2017,0.273,99.727
247,The Fault in Our Stars,"30,71,66,834","12,48,72,350","18,22,94,484",2014,40.653,59.347
248,Rise of the Guardians,"30,69,41,670","10,34,12,758","20,35,28,912",2012,33.691,66.309
249,Annabelle: Creation,"30,65,15,884","10,20,92,201","20,44,23,683",2017,33.307,66.693
250,Wonder,"30,59,37,718","13,24,22,809","17,35,14,909",2017,43.284,56.716
251,Skyscraper,"30,48,68,961","6,84,20,120","23,64,48,841",2018,22.442,77.558
252,A Good Day to Die Hard,"30,46,54,182","6,73,49,198","23,73,04,984",2013,22.107,77.893
253,Dangal,"30,37,23,636","1,23,91,761","29,13,31,875",2016,4.080,95.920
254,Passengers,"30,31,44,152","10,00,14,699","20,31,29,453",2016,32.992,67.008
255,Battleship,"30,30,25,485","6,54,22,625","23,76,02,860",2012,21.590,78.410
256,Wrath of the Titans,"30,19,70,083","8,36,70,083","21,83,00,000",2012,27.708,72.292
257,Alice Through the Looking Glass,"29,94,57,024","7,70,41,381","22,24,15,643",2016,25.727,74.273
258,Real Steel,"29,92,68,508","8,54,68,508","21,38,00,000",2011,28.559,71.441
