Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
135,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,23.169134358178354,76.83086564182165
136,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017,29.931576650194952,70.06842334980506
137,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014,39.42327418918454,60.57672581081546
138,Rio,483866518,143619809,340246709,2011.csv,2011,29.681700150205476,70.31829984979453
139,Rise of the Planet of the Apes,481800873,176760185,305040688,2011.csv,2011,36.68739408863628,63.31260591136372
140,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015,35.74138795282224,64.25861204717775
141,San Andreas,473990832,155190832,318800000,2015.csv,2015,32.74131513159732,67.25868486840268
142,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,44.725482310222375,55.274517689777625
143,Wreck-It Ralph,471222889,189422889,281800000,2012.csv,2012,40.198151113156136,59.801848886843864
144,The Lego Movie,468060692,257760692,210300000,2014.csv,2014,55.069929264643314,44.930070735356686
145,Bumblebee,467989645,127195589,340794056,2018.csv,2018,27.17914602576303,72.82085397423698
146,Star Trek Into Darkness,467365246,228778661,238586585,2013.csv,2013,48.95072172311246,51.049278276887534
147,Lucy,458863600,126663600,332200000,2014.csv,2014,27.603758502526677,72.39624149747333
148,Dying to Survive,451176639,0,451176639,2018.csv,2018,0.0,100.0
149,"My People, My Country",450064993,2356683,447708310,2019.csv,2019,0.5236317057878793,99.47636829421212
150,Thor,449326618,181030624,268295994,2011.csv,2011,40.289316668081305,59.7106833319187
151,La La Land,447407695,151101803,296305892,2016.csv,2016,33.77273227274287,66.22726772725713
152,Les Misérables,442299309,148809770,293489539,2012.csv,2012,33.64458568484899,66.35541431515101
153,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015,20.372273134974854,79.62772686502514
154,Warcraft,439048914,47365290,391683624,2016.csv,2016,10.788157877097039,89.21184212290297
155,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,49.35679995096436,50.64320004903564
156,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017,40.078829005465124,59.921170994534876
157,Pokémon Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,33.28026947731957,66.71973052268044
158,The Secret Life of Pets 2,430051293,158874395,271176898,2019.csv,2019,36.943126921374,63.056873078626
159,Rampage,428028233,101028233,327000000,2018.csv,2018,23.60317035441912,76.39682964558088
160,The Intouchables,426588510,10198820,416389690,2011.csv,2011,2.3907863810021515,97.60921361899784
161,Django Unchained,425368238,162805434,262562804,2012.csv,2012,38.27399872766241,61.72600127233759
162,The Captain,417282021,706572,416575449,2019.csv,2019,0.16932720904359308,99.83067279095641
163,Jason Bourne,415484914,162434410,253050504,2016.csv,2016,39.09514028709115,60.90485971290885
164,The Wolverine,414828246,132556852,282271394,2013.csv,2013,31.95463502743253,68.04536497256747
165,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015,30.954807635736444,69.04519236426356
166,Pacific Rim,411002906,101802906,309200000,2013.csv,2013,24.769388370212642,75.23061162978736
167,Kingsman: The Golden Circle,410902662,100234838,310667824,2017.csv,2017,24.393815681826855,75.60618431817315
168,The Mummy,409231607,80227895,329003712,2017.csv,2017,19.6045206742792,80.3954793257208
169,Ice Age: Collision Course,408579038,64063008,344516030,2016.csv,2016,15.679465180981703,84.3205348190183
170,Alita: Battle Angel,404980543,85838210,319142333,2019.csv,2019,21.195638033405473,78.80436196659453
171,Prometheus,403354469,126477084,276877385,2012.csv,2012,31.356311562275017,68.64368843772498
172,Snow White and the Huntsman,396592829,155332381,241260448,2012.csv,2012,39.16671448439125,60.83328551560876
173,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018,30.537033699674488,69.46296630032552
174,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018,54.40417815106289,45.59582184893712
175,The Wolf of Wall Street,392000694,116900694,275100000,2013.csv,2013,29.821552815924353,70.17844718407565
176,Independence Day: Resurgence,389681935,103144286,286537649,2016.csv,2016,26.468839516514926,73.53116048348508
177,Monster Hunt,387053506,32766,387020740,2015.csv,2015,0.008465496240718719,99.99153450375928
178,Godzilla: King of the Monsters,386600138,110500138,276100000,2019.csv,2019,28.58253971963145,71.41746028036854
179,Home,386041607,177397510,208644097,2015.csv,2015,45.95295086936056,54.04704913063944
180,1917,384919389,159227644,225691745,2019.csv,2019,41.36649089401937,58.63350910598063
181,Cars 3,383930656,152901115,231029541,2017.csv,2017,39.82519046356121,60.17480953643879
182,Fifty Shades Darker,381545846,114581250,266964596,2017.csv,2017,30.030794778984436,69.96920522101556
183,Taken 2,376141306,139854287,236287019,2012.csv,2012,37.181315843041176,62.818684156958824
184,G.I. Joe: Retaliation,375740705,122523060,253217645,2013.csv,2013,32.60840743884802,67.39159256115198
185,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,50.65795628491859,49.34204371508141
186,Mad Max: Fury Road,374736354,153636354,221100000,2015.csv,2015,40.99851865453118,59.00148134546882
187,Once Upon a Time... In Hollywood,374375059,142502728,231872331,2019.csv,2019,38.06416174748436,61.93583825251564
188,The Adventures of Tintin,373993951,77591831,296402120,2011.csv,2011,20.746814431766037,79.25318556823396
189,Penguins of Madagascar,373515621,83850911,289664710,2014.csv,2014,22.44910421028951,77.5508957897105
190,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,26.992420431298125,73.00757956870187
191,Captain America: The First Avenger,370569774,176654505,193915269,2011.csv,2011,47.67105074252494,52.32894925747505
192,Edge of Tomorrow,370541256,100206256,270335000,2014.csv,2014,27.04321162013873,72.95678837986127
193,Gone Girl,369330363,167767189,201563174,2014.csv,2014,45.42469447604014,54.57530552395986
194,Hello Mr. Billionaire,366961907,0,366961907,2018.csv,2018,0.0,100.0
195,Shazam!,365971656,140371656,225600000,2019.csv,2019,38.35588185550632,61.64411814449369
196,The Nun,365550119,117450119,248100000,2018.csv,2018,32.129689718415875,67.87031028158412
197,Night at the Museum: Secret of the Tomb,363204635,113746621,249458014,2014.csv,2014,31.3175025973994,68.6824974026006
198,The Hangover Part III,362000072,112200072,249800000,2013.csv,2013,30.99448886297459,69.00551113702541
199,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.1952410662986298,99.80475893370136
200,Noah,359200044,101200044,258000000,2014.csv,2014,28.173728174710355,71.82627182528964
201,Hotel Transylvania,358375603,148313048,210062555,2012.csv,2012,41.38480598524448,58.615194014755524
202,Your Name.,357986087,5017246,352968841,2016.csv,2016,1.4015198305737508,98.59848016942625
203,The Legend of Tarzan,356700357,126643061,230057296,2016.csv,2016,35.50404660794887,64.49595339205113
204,The Great Gatsby,353641895,144840419,208801476,2013.csv,2013,40.9568043401645,59.04319565983549
205,Dumbo,353284621,114766307,238518314,2019.csv,2019,32.485508900768146,67.51449109923186
206,Murder on the Orient Express,352789811,102826543,249963268,2017.csv,2017,29.146687289106545,70.85331271089346
207,X-Men: First Class,352616690,146408305,206208385,2011.csv,2011,41.52052615546927,58.47947384453073
208,The Angry Birds Movie,352333929,107509366,244824563,2016.csv,2016,30.513486539640073,69.48651346035993
209,Now You See Me,351723989,117723989,234000000,2013.csv,2013,33.47056006464205,66.52943993535794
210,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018,32.810827671655154,67.18917232834485
211,Titanic 2012 3D Release,350449521,57884114,292565407,2012.csv,2012,16.517104613191925,83.48289538680808
